,BlackRock Multi-Asset Income Portfolio,iShares iBoxx $ High Yield Corporate Bond ETF,BlackRock Equity Dividend Fund,iShares 20+ Year Treasury Bond ETF,Vanguard Equity-Income Fund Investor Shares,Cash
2018-01-02,8.489754676818848,66.99462890625,12.966428756713867,112.02816772460938,26.49379539489746,21.90210848255256
2018-01-03,8.520377159118652,67.31678009033203,13.011882781982422,112.56381225585938,26.571800231933594,21.90295998136283
2018-01-04,8.543342590332031,67.431884765625,13.102795600891113,112.54594421386719,26.67816734313965,21.903811513277237
2018-01-05,8.551000595092773,67.4779052734375,13.170978546142578,112.22455596923828,26.805814743041992,21.90466307829705
2018-01-08,8.5586519241333,67.42422485351562,13.1482515335083,112.15316772460938,26.841272354125977,21.90721797200187
2018-01-09,8.5586519241333,67.21707916259766,13.170978546142578,110.65337371826172,26.85545539855957,21.90806966945622
2018-01-10,8.543342590332031,67.07134246826172,13.182345390319824,110.51948547363281,26.805814743041992,21.908921400022425
2018-01-11,8.5586519241333,67.29380798339844,13.25621223449707,110.97474670410156,26.976016998291016,21.909773163701768
2018-01-12,8.573966026306152,67.17872619628906,13.364171028137207,111.16221618652344,27.132028579711914,21.91062496049554
2018-01-16,8.573966026306152,67.14039611816406,13.335762023925781,111.62642669677734,27.03983497619629,21.91403247884063
2018-01-17,8.581621170043945,67.14804077148438,13.42667293548584,111.47467041015625,27.302221298217773,21.914884441225844
2018-01-18,8.573966026306152,67.07904815673828,13.415307998657227,110.43909454345703,27.25258445739746,21.91573643673321
2018-01-19,8.589282035827637,67.14804077148438,13.472126007080078,109.85884094238281,27.366043090820312,21.91658846536401
2018-01-22,8.60459041595459,67.20941925048828,13.56872272491455,109.9659423828125,27.58588409423828,21.91914475000994
2018-01-23,8.612242698669434,67.40884399414062,13.591449737548828,110.43909454345703,27.578786849975586,21.919996911147383
2018-01-24,8.612242698669434,67.30915069580078,13.636906623840332,109.8409652709961,27.600061416625977,21.9208491054147
2018-01-25,8.60459041595459,67.26313018798828,13.648270606994629,110.74263763427734,27.592971801757812,21.921701332813186
2018-01-26,8.619895935058594,67.31678009033203,13.784640312194824,110.33195495605469,27.975910186767578,21.922553593344126
2018-01-29,8.589282035827637,67.07904815673828,13.739188194274902,109.56425476074219,27.784440994262695,21.925110573744558
2018-01-30,8.551000595092773,66.84889221191406,13.540313720703125,108.92144012451172,27.429866790771484,21.925962966818197
2018-01-31,8.580962181091309,66.96395874023438,13.551675796508789,109.56425476074219,27.380226135253906,21.92681539303073
2018-02-01,8.57327938079834,66.83765411376953,13.551675796508789,107.9763412475586,27.380226135253906,21.927619826504426
2018-02-02,8.511821746826172,66.41399383544922,13.284621238708496,106.97440338134766,26.820003509521484,21.92847231713149
2018-02-05,8.465729713439941,66.04422760009766,12.74482536315918,107.98529815673828,25.69954490661621,21.931029987873973
2018-02-06,8.442683219909668,66.44481658935547,12.92096996307373,107.31436920166016,26.054122924804688,21.931882611079526
2018-02-07,8.458045959472656,66.19831085205078,12.881196022033691,106.2945327758789,25.94774627685547,21.93273526743292
2018-02-08,8.388906478881836,65.6205825805664,12.472090721130371,106.17823791503906,25.096769332885742,21.933587956935447
2018-02-09,8.358180046081543,65.43572998046875,12.619824409484863,105.50729370117188,25.458436965942383,21.93444067958839
2018-02-12,8.396589279174805,65.88249969482422,12.75619125366211,105.97249603271484,25.75628089904785,21.936999046462635
2018-02-13,8.388906478881836,65.67450714111328,12.795967102050781,106.44662475585938,25.827194213867188,21.93785190173015
2018-02-14,8.404271125793457,65.79005432128906,12.989154815673828,105.2657470703125,26.110855102539062,21.938704790154528
2018-02-15,8.427318572998047,66.3215560913086,13.085749626159668,105.62359619140625,26.40869903564453,21.93955771173706
2018-02-16,8.434999465942383,66.59115600585938,13.102795600891113,106.19611358642578,26.42997169494629,21.940410666479035
2018-02-20,8.419636726379395,66.36006927490234,13.011882781982422,105.7309799194336,26.224321365356445,21.943822817067147
2018-02-21,8.404271125793457,66.05967712402344,12.943697929382324,104.43378448486328,26.061206817626953,21.944675937625675
2018-02-22,8.396589279174805,66.10584259033203,12.926652908325195,104.74688720703125,26.082483291625977,21.945529091351386
2018-02-23,8.427318572998047,66.54490661621094,13.0914306640625,105.67726135253906,26.522157669067383,21.946382278245554
2018-02-26,8.450366020202637,66.66044616699219,13.216440200805664,105.71305847167969,26.820003509521484,21.948942037951777
2018-02-27,8.411954879760742,66.4832992553711,13.045973777770996,105.56096649169922,26.4796085357666,21.94979535753272
2018-02-28,8.425069808959961,66.38318634033203,12.881196022033691,106.23192596435547,26.110855102539062,21.950648710288576
2018-03-01,8.401926040649414,65.94316101074219,12.750510215759277,106.95706939697266,25.827194213867188,21.951460027900044
2018-03-02,8.394207000732422,66.31436157226562,12.784600257873535,106.08761596679688,25.905200958251953,21.95231344537409
2018-03-05,8.409640312194824,66.31436157226562,12.915287017822266,105.80073547363281,26.188858032226562,21.954873896873725
2018-03-06,8.417356491088867,66.40715789794922,12.932332992553711,105.89938354492188,26.203039169311523,21.9557274470704
2018-03-07,8.409640312194824,66.24473571777344,12.903923034667969,105.78282928466797,26.16049575805664,21.956581030450955
2018-03-08,8.425069808959961,66.32209014892578,12.932332992553711,106.39236450195312,26.302324295043945,21.957434647016683
2018-03-09,8.440500259399414,66.56185150146484,13.108477592468262,105.69319152832031,26.7065372467041,21.958288296768878
2018-03-12,8.448212623596191,66.45353698730469,13.0914306640625,106.30272674560547,26.614349365234375,21.960849445157123
