,T,n_step,r,mu,sigma,S0,K,Price
4536,0.5,132.0,0.03,0.24,0.33,138.88888888888889,97.22222222222221,49.57681887079286
4537,0.5,132.0,0.03,0.24,0.33,138.88888888888889,111.1111111111111,36.0801290271696
4538,0.5,132.0,0.03,0.24,0.33,138.88888888888889,125.0,23.48374466593137
4539,0.5,132.0,0.03,0.24,0.33,138.88888888888889,138.88888888888889,12.635226093792332
4540,0.5,132.0,0.03,0.24,0.33,138.88888888888889,152.7777777777778,5.628875663911376
4541,0.5,132.0,0.03,0.24,0.33,138.88888888888889,166.66666666666669,2.078540030905552
4542,0.5,132.0,0.03,0.24,0.33,138.88888888888889,180.55555555555557,0.7747563924208508
4543,0.5,132.0,0.03,0.24,0.33,150.0,105.0,53.53450288517836
4544,0.5,132.0,0.03,0.24,0.33,150.0,119.99999999999999,39.106789377822864
4545,0.5,132.0,0.03,0.24,0.33,150.0,135.0,25.27718623506459
4546,0.5,132.0,0.03,0.24,0.33,150.0,150.0,14.068440022524673
4547,0.5,132.0,0.03,0.24,0.33,150.0,165.0,6.214685759648997
4548,0.5,132.0,0.03,0.24,0.33,150.0,180.00000000000003,2.4312012595241965
4549,0.5,132.0,0.03,0.24,0.33,150.0,195.0,0.7521421971148303
4550,0.5,132.0,0.03,0.24,0.4,50.0,35.0,17.881203473230013
4551,0.5,132.0,0.03,0.24,0.4,50.0,40.0,13.159130915404887
4552,0.5,132.0,0.03,0.24,0.4,50.0,45.0,8.709012455536262
4553,0.5,132.0,0.03,0.24,0.4,50.0,50.0,5.056387475066663
4554,0.5,132.0,0.03,0.24,0.4,50.0,55.00000000000001,2.6804698322552425
4555,0.5,132.0,0.03,0.24,0.4,50.0,60.00000000000001,1.239150966177285
4556,0.5,132.0,0.03,0.24,0.4,50.0,65.0,0.5536150153901708
4557,0.5,132.0,0.03,0.24,0.4,61.111111111111114,42.77777777777778,21.851002218169306
4558,0.5,132.0,0.03,0.24,0.4,61.111111111111114,48.888888888888886,16.009764278603484
4559,0.5,132.0,0.03,0.24,0.4,61.111111111111114,55.00000000000001,10.622386710671273
4560,0.5,132.0,0.03,0.24,0.4,61.111111111111114,61.111111111111114,6.081728804224262
4561,0.5,132.0,0.03,0.24,0.4,61.111111111111114,67.22222222222223,3.2635950922883428
4562,0.5,132.0,0.03,0.24,0.4,61.111111111111114,73.33333333333334,1.5092362891510342
4563,0.5,132.0,0.03,0.24,0.4,61.111111111111114,79.44444444444446,0.6501637191183527
4564,0.5,132.0,0.03,0.24,0.4,72.22222222222223,50.55555555555556,25.80865502283053
4565,0.5,132.0,0.03,0.24,0.4,72.22222222222223,57.77777777777778,18.900261670367122
4566,0.5,132.0,0.03,0.24,0.4,72.22222222222223,65.00000000000001,12.521257309667087
4567,0.5,132.0,0.03,0.24,0.4,72.22222222222223,72.22222222222223,7.28419022072081
4568,0.5,132.0,0.03,0.24,0.4,72.22222222222223,79.44444444444446,3.8621732361732213
4569,0.5,132.0,0.03,0.24,0.4,72.22222222222223,86.66666666666669,1.7490882889342259
4570,0.5,132.0,0.03,0.24,0.4,72.22222222222223,93.8888888888889,0.8170421187493286
4571,0.5,132.0,0.03,0.24,0.4,83.33333333333333,58.33333333333333,30.006550464039385
4572,0.5,132.0,0.03,0.24,0.4,83.33333333333333,66.66666666666666,21.56664907185286
4573,0.5,132.0,0.03,0.24,0.4,83.33333333333333,75.0,14.431158280568958
4574,0.5,132.0,0.03,0.24,0.4,83.33333333333333,83.33333333333333,8.472234145138614
4575,0.5,132.0,0.03,0.24,0.4,83.33333333333333,91.66666666666667,4.544763628819422
4576,0.5,132.0,0.03,0.24,0.4,83.33333333333333,100.00000000000001,2.1065616677437924
4577,0.5,132.0,0.03,0.24,0.4,83.33333333333333,108.33333333333333,0.9661401185014157
4578,0.5,132.0,0.03,0.24,0.4,94.44444444444444,66.1111111111111,33.93110066904762
4579,0.5,132.0,0.03,0.24,0.4,94.44444444444444,75.55555555555554,24.708599466042973
4580,0.5,132.0,0.03,0.24,0.4,94.44444444444444,85.0,16.292171869315027
4581,0.5,132.0,0.03,0.24,0.4,94.44444444444444,94.44444444444444,9.622689974687987
4582,0.5,132.0,0.03,0.24,0.4,94.44444444444444,103.8888888888889,5.109341675419518
4583,0.5,132.0,0.03,0.24,0.4,94.44444444444444,113.33333333333334,2.4037162136633095
4584,0.5,132.0,0.03,0.24,0.4,94.44444444444444,122.77777777777779,1.033747927032042
4585,0.5,132.0,0.03,0.24,0.4,105.55555555555556,73.88888888888889,37.64541795745553
4586,0.5,132.0,0.03,0.24,0.4,105.55555555555556,84.44444444444444,27.387509960667032
4587,0.5,132.0,0.03,0.24,0.4,105.55555555555556,95.0,18.383349069725668
4588,0.5,132.0,0.03,0.24,0.4,105.55555555555556,105.55555555555556,10.754478273703493
4589,0.5,132.0,0.03,0.24,0.4,105.55555555555556,116.11111111111113,5.870039986560145
4590,0.5,132.0,0.03,0.24,0.4,105.55555555555556,126.66666666666669,2.677790207990933
4591,0.5,132.0,0.03,0.24,0.4,105.55555555555556,137.22222222222223,1.1413059127292575
4592,0.5,132.0,0.03,0.24,0.4,116.66666666666666,81.66666666666666,41.882199399624064
4593,0.5,132.0,0.03,0.24,0.4,116.66666666666666,93.33333333333331,30.403078559116903
4594,0.5,132.0,0.03,0.24,0.4,116.66666666666666,105.0,19.8902360662562
4595,0.5,132.0,0.03,0.24,0.4,116.66666666666666,116.66666666666666,12.024551135777518
