,T,r,mu,sigma,S0,K,Price
9072,1.0,0.0,0.18,0.26,116.66666666666666,81.66666666666666,46.32803905355615
9073,1.0,0.0,0.18,0.26,116.66666666666666,93.33333333333331,34.61797658838769
9074,1.0,0.0,0.18,0.26,116.66666666666666,105.0,23.479711787085858
9075,1.0,0.0,0.18,0.26,116.66666666666666,116.66666666666666,14.103173726533916
9076,1.0,0.0,0.18,0.26,116.66666666666666,128.33333333333334,7.657285428342523
9077,1.0,0.0,0.18,0.26,116.66666666666666,140.0,3.506991145202419
9078,1.0,0.0,0.18,0.26,116.66666666666666,151.66666666666666,1.5570135819788606
9079,1.0,0.0,0.18,0.26,127.77777777777777,89.44444444444443,50.790513371783675
9080,1.0,0.0,0.18,0.26,127.77777777777777,102.22222222222221,37.895887587317524
9081,1.0,0.0,0.18,0.26,127.77777777777777,115.0,25.817965930310987
9082,1.0,0.0,0.18,0.26,127.77777777777777,127.77777777777777,15.787278366327431
9083,1.0,0.0,0.18,0.26,127.77777777777777,140.55555555555557,8.08709394881233
9084,1.0,0.0,0.18,0.26,127.77777777777777,153.33333333333334,3.92439859940323
9085,1.0,0.0,0.18,0.26,127.77777777777777,166.11111111111111,1.5494091050003962
9086,1.0,0.0,0.18,0.26,138.88888888888889,97.22222222222221,54.906604806149865
9087,1.0,0.0,0.18,0.26,138.88888888888889,111.1111111111111,41.20937159395152
9088,1.0,0.0,0.18,0.26,138.88888888888889,125.0,27.968785232682595
9089,1.0,0.0,0.18,0.26,138.88888888888889,138.88888888888889,16.969456737790313
9090,1.0,0.0,0.18,0.26,138.88888888888889,152.7777777777778,9.328552326147912
9091,1.0,0.0,0.18,0.26,138.88888888888889,166.66666666666669,4.278861465429909
9092,1.0,0.0,0.18,0.26,138.88888888888889,180.55555555555557,1.9341656242239587
9093,1.0,0.0,0.18,0.26,150.0,105.0,59.530338311958666
9094,1.0,0.0,0.18,0.26,150.0,119.99999999999999,44.32104840653831
9095,1.0,0.0,0.18,0.26,150.0,135.0,30.475346092034627
9096,1.0,0.0,0.18,0.26,150.0,150.0,18.080606912763155
9097,1.0,0.0,0.18,0.26,150.0,165.0,9.704773164249175
9098,1.0,0.0,0.18,0.26,150.0,180.00000000000003,4.701776509069145
9099,1.0,0.0,0.18,0.26,150.0,195.0,1.8768038531616913
9100,1.0,0.0,0.18,0.33,50.0,35.0,19.730150740674187
9101,1.0,0.0,0.18,0.33,50.0,40.0,14.83777920524795
9102,1.0,0.0,0.18,0.33,50.0,45.0,10.496552989293795
9103,1.0,0.0,0.18,0.33,50.0,50.0,6.801739446598815
9104,1.0,0.0,0.18,0.33,50.0,55.00000000000001,4.166557239631661
9105,1.0,0.0,0.18,0.33,50.0,60.00000000000001,2.302229674139171
9106,1.0,0.0,0.18,0.33,50.0,65.0,1.29184462943301
9107,1.0,0.0,0.18,0.33,61.111111111111114,42.77777777777778,24.283059628995268
